Time,Latitude,Longitude,Depth,Altitude,Chlorophyll,cDOM,DissolvedOxygen
1569491938.69,63.58076481,10.50302492,26.535164,-1,0.3285000026,3.7632000446,220.905
1569491939.79,63.58075535,10.50305553,27.059561,-1,0.3066000044,3.4047999382,220.363
1569491940.94,63.58074561,10.50308747,27.626129,-1,0.2847000062,3.5840001106,220.161
1569491942.04,63.58073638,10.50311793,28.142399,-1,0.2700999975,3.3152000904,219.685
1569491943.19,63.58072688,10.50314967,28.649733,-1,0.2847000062,3.3152000904,219.397
1569491944.291,63.58071794,10.50318004,29.173317,-1,0.2919999957,3.4047999382,219.194
1569491945.44,63.58070872,10.50321178,29.717255,-1,0.2700999975,3.4047999382,218.994
1569491946.54,63.58069997,10.50324207,30.212343,-1,0.2992999852,3.2256000042,218.866
1569491947.69,63.5806908,10.50327348,30.716867,-1,0.2847000062,3.4944000244,218.709
1569491948.791,63.58068189,10.50330312,31.219229,-1,0.240899995,3.6735999584,218.495
1569491949.94,63.58067247,10.50333368,31.761868,-1,0.2554999888,3.4944000244,218.202
1569491951.04,63.58066353,10.50336287,32.245846,-1,0.2554999888,4.2112002373,218.0665
1569491952.19,63.5806543,10.5033935,32.740154,-1,0.2263000011,3.0464000702,217.837
1569491953.29,63.58064562,10.50342272,33.223782,-1,0.2628000081,3.3152000904,217.85
1569491954.44,63.58063661,10.50345321,33.739777,-1,0.2481999993,3.2256000042,217.732
1569491955.54,63.58062798,10.50348217,34.231651,-1,0.2336000055,3.135999918,217.594
1569491956.69,63.58061887,10.50351216,34.719944,-1,0.2336000055,3.2256000042,217.446
1569491957.79,63.58061015,10.50354066,35.192291,-1,0.2336000055,3.4944000244,217.263
1569491958.94,63.58060117,10.50357066,35.723671,-1,0.2117000073,2.956799984,217.151
1569491960.04,63.58059275,10.50359929,36.202148,-1,0.2263000011,3.135999918,217.1425
1569491961.19,63.58058403,10.50362931,36.673054,-1,0.2117000073,3.4047999382,217.003
1569491962.29,63.58057576,10.50365789,37.146824,-1,0.2189999968,2.6879999638,217.034
1569491963.44,63.58056707,10.50368756,37.674736,-1,0.2189999968,3.135999918,216.872
1569491964.54,63.58055868,10.50371592,38.147106,-1,0.2263000011,2.8671998978,216.769
1569491965.69,63.58054993,10.50374534,38.624432,-1,0.204400003,3.135999918,216.705
1569491966.791,63.58054146,10.50377328,39.090343,-1,0.204400003,2.6879999638,216.636
1569491967.891,63.58053292,10.50380113,39.56237,-1,0.2117000073,3.4944000244,216.492
1569491969.04,63.58052398,10.50383017,40.063278,-1,0.1970999986,3.135999918,216.322
1569491970.14,63.5805154,10.5038578,40.526936,-1,0.1752000004,3.2256000042,216.241
1569491971.29,63.58050648,10.50388672,40.982368,-1,0.1606000066,2.77760005,215.767
1569491972.39,63.5804981,10.50391439,41.446789,-1,0.1825000048,2.8671998978,215.622
1569491973.54,63.58048931,10.50394313,41.94656,-1,0.1752000004,3.0464000702,215.536
1569491974.64,63.58048087,10.50397062,42.401012,-1,0.1459999979,2.8671998978,215.516
1569491975.79,63.58047211,10.5039994,42.866123,-1,0.1825000048,3.2256000042,214.736
1569491976.89,63.58046372,10.50402683,43.312855,-1,0.1752000004,2.956799984,215.691
1569491978.04,63.58045498,10.50405546,43.804493,-1,0.167899996,2.598400116,215.829
1569491979.14,63.58044661,10.50408285,44.249863,-1,0.1752000004,3.0464000702,215.765
1569491980.29,63.58043798,10.50411102,44.581738,-1,0.1606000066,2.4191999435,215.566
1569491981.39,63.580432,10.50412591,44.693531,-1,0.1459999979,3.0464000702,215.347
1569491982.54,63.5804278,10.50413286,44.638954,-1,0.1533000022,2.8671998978,215.171
1569491983.64,63.58042251,10.50413967,44.508736,-1,0.1825000048,3.4047999382,215.192
1569491984.79,63.58041571,10.50414664,44.342068,-1,0.167899996,3.135999918,215.2
1569491985.89,63.58040773,10.50415277,44.156361,-1,0.1897999942,2.8671998978,215.181
1569491987.04,63.5803979,10.50415764,43.939167,-1,0.1825000048,3.0464000702,215.2225
1569491988.14,63.58038699,10.50415988,43.740643,-1,0.1752000004,3.135999918,215.18
1569491989.29,63.58037431,10.50415841,43.540878,-1,0.1825000048,2.956799984,215.206
1569491990.39,63.58036128,10.50415215,43.330402,-1,0.1897999942,2.77760005,215.104
1569491991.54,63.58034739,10.5041394,43.062286,-1,0.1752000004,2.5088000298,215.034
1569491992.641,63.58033456,10.50412041,42.777111,-1,0.1825000048,2.598400116,214.954
1569491993.79,63.58032259,10.50409294,42.443634,-1,0.1825000048,2.6879999638,215.083
1569491994.89,63.58031309,10.50406011,42.069225,-1,0.1606000066,2.77760005,215.451
1569491996.04,63.5803061,10.5040196,41.628952,-1,0.1533000022,2.6879999638,214.0945
1569491997.14,63.5803035,10.50397602,41.194351,-1,0.167899996,2.8671998978,214.224
1569491998.29,63.58030576,10.50392858,40.742992,-1,0.1825000048,2.77760005,214.441
1569491999.39,63.5803126,10.5038861,40.276798,-1,0.1897999942,2.8671998978,214.493
1569492000.54,63.58032404,10.50384712,39.780575,-1,0.1970999986,3.0464000702,214.619
1569492001.64,63.58033838,10.50381685,39.326508,-1,0.1752000004,3.0464000702,214.693
1569492002.79,63.58035599,10.50379381,38.871735,-1,0.1970999986,3.0464000702,214.77
1569492003.89,63.58037439,10.50378129,38.421349,-1,0.204400003,3.135999918,215.027
1569492005.04,63.58039437,10.5037785,37.929989,-1,0.1970999986,3.3152000904,215.226
1569492006.14,63.58041332,10.50378324,37.48,-1,0.2189999968,3.0464000702,215.272
1569492007.29,63.58043301,10.50379048,37.020691,-1,0.2336000055,3.3152000904,215.37
1569492008.39,63.580452,10.50379475,36.595486,-1,0.2189999968,3.0464000702,215.411
1569492009.54,63.58047181,10.5037973,36.133678,-1,0.2189999968,3.4047999382,215.579
1569492010.64,63.58049048,10.50380194,35.720398,-1,0.2117000073,2.956799984,215.595
1569492011.79,63.5805092,10.50381312,35.32967,-1,0.2189999968,3.7632000446,215.646
1569492012.89,63.58052567,10.5038311,34.95755,-1,0.2336000055,3.3152000904,215.68
1569492014.04,63.58054053,10.50385715,34.535801,-1,0.2336000055,3.4047999382,215.8655
1569492015.14,63.58055196,10.50388784,34.133316,-1,0.2336000055,3.3152000904,216.168
1569492016.29,63.58056123,10.50392382,33.712822,-1,0.240899995,3.4047999382,216.247
1569492017.39,63.58056821,10.50396014,33.285515,-1,0.2554999888,3.4047999382,216.416
1569492018.54,63.58057443,10.50399913,32.840641,-1,0.2554999888,3.7632000446,216.547
1569492019.64,63.58057916,10.50403721,32.444607,-1,0.2628000081,3.2256000042,216.669
1569492020.79,63.58058229,10.50407774,32.059456,-1,0.2554999888,3.4047999382,216.713
1569492021.89,63.58058309,10.50411677,31.687208,-1,0.2554999888,3.3152000904,216.818
1569492023.04,63.58058139,10.50415713,31.305792,-1,0.2481999993,3.5840001106,216.956
1569492024.14,63.58057729,10.50419451,30.960138,-1,0.2628000081,3.2256000042,217.046
1569492025.29,63.58057058,10.50423159,30.614626,-1,0.2481999993,3.2256000042,217.193
1569492026.391,63.58056212,10.50426458,30.26849,-1,0.2628000081,3.4047999382,217.352
1569492027.54,63.5805514,10.50429602,29.893421,-1,0.2628000081,3.4944000244,217.445
1569492028.641,63.58053965,10.50432286,29.546751,-1,0.2847000062,3.8527998924,217.684
1569492029.745,63.58052662,10.50434632,29.18972,-1,0.2919999957,3.4047999382,217.838
1569492030.89,63.58051205,10.50436695,28.831608,-1,0.277399987,3.5840001106,217.955
1569492031.99,63.58049724,10.50438304,28.468327,-1,0.2847000062,3.4047999382,218.127
1569492033.141,63.58048109,10.50439575,28.053423,-1,0.3066000044,3.4944000244,218.218
1569492034.24,63.58046527,10.5044038,27.679855,-1,0.3212000132,3.4944000244,218.121
1569492035.39,63.58044849,10.5044078,27.298899,-1,0.3066000044,3.5840001106,218.653
1569492036.49,63.58043238,10.50440736,26.931719,-1,0.3504000008,3.7632000446,219.033
1569492037.64,63.58041578,10.50440249,26.52133,-1,0.3138999939,3.9423999786,219.21
1569492038.74,63.58040028,10.50439364,26.155396,-1,0.3431000113,3.4944000244,219.237
1569492039.89,63.5803847,10.50438019,25.791021,-1,0.3504000008,3.5840001106,219.261
1569492040.99,63.58037063,10.50436345,25.436369,-1,0.3285000026,3.8527998924,219.495
1569492042.14,63.58035702,10.50434209,25.061083,-1,0.372299999,3.9423999786,219.844
1569492043.24,63.58034521,10.50431848,24.722994,-1,0.3576999903,3.6735999584,219.938
1569492044.39,63.58033419,10.50429085,24.388981,-1,0.3504000008,3.7632000446,219.991
1569492045.49,63.58032506,10.50426204,24.053841,-1,0.372299999,4.1216001511,220.044
1569492046.64,63.58031718,10.50422972,23.698421,-1,0.3576999903,4.0320000648,220.238
1569492047.74,63.58031124,10.50419706,23.370518,-1,0.3941999972,3.9423999786,220.528
1569492048.89,63.5803068,10.50416168,23.053204,-1,0.4160999954,4.1216001511,220.64
1569492049.99,63.58030427,10.50412707,22.727221,-1,0.3941999972,3.8527998924,220.8475
1569492051.14,63.58030344,10.50409067,22.377073,-1,0.3941999972,3.9423999786,221.071
1569492052.24,63.58030439,10.50405582,22.06488,-1,0.4014999866,4.4800000191,221.151
1569492053.39,63.5803072,10.50401995,21.748079,-1,0.4234000146,4.8383998871,221.542
1569492054.49,63.58031158,10.50398674,21.437176,-1,0.4453000128,3.9423999786,221.806
1569492055.64,63.5803179,10.50395346,21.094858,-1,0.4891000092,4.1216001511,222.437
1569492056.74,63.58032548,10.5039234,20.784445,-1,0.5256000161,4.2112002373,222.843
1569492057.89,63.58033491,10.50389426,20.471031,-1,0.554799974,4.3903999329,223.213
1569492058.99,63.58034528,10.5038689,20.16275,-1,0.5766999722,4.0320000648,223.775
1569492060.14,63.58035736,10.50384544,19.820969,-1,0.5694000125,4.3903999329,224.224
1569492061.24,63.5803699,10.50382614,19.511427,-1,0.5694000125,4.4800000191,224.369
1569492062.39,63.58038395,10.50380943,19.198565,-1,0.554799974,4.4800000191,224.508
1569492063.49,63.5803981,10.50379693,18.885674,-1,0.5766999722,4.6592001915,224.732
1569492064.64,63.58041342,10.50378762,18.54237,-1,0.5913000107,4.5696001053,224.723
1569492065.74,63.58042833,10.50378243,18.227018,-1,0.5913000107,4.4800000191,224.955
1569492066.89,63.58044409,10.50378089,17.915262,-1,0.5839999914,4.3903999329,224.899
1569492067.99,63.58045916,10.50378311,17.589806,-1,0.6205000281,4.6592001915,225.3415
1569492069.14,63.58047468,10.50378922,17.244734,-1,0.6715999842,4.8383998871,226.092
1569492070.29,63.58048966,10.50379906,16.925154,-1,0.6934999824,4.4800000191,226.557
1569492071.391,63.5805035,10.50381182,16.608755,-1,0.7008000016,5.0176000595,226.841
1569492072.54,63.58051728,10.50382851,16.270491,-1,0.7226999998,4.8383998871,227.031
1569492073.64,63.58052957,10.50384761,15.954243,-1,0.7300000191,4.7487998009,227.239
1569492074.79,63.58054132,10.50387064,15.642923,-1,0.7883999944,5.0176000595,227.593
1569492075.89,63.58055136,10.50389522,15.322495,-1,0.7883999944,5.1072001457,228.051
1569492077.04,63.58056052,10.50392324,14.977057,-1,0.7957000136,5.1968002319,228.379
1569492078.14,63.58056789,10.50395207,14.659909,-1,0.7957000136,4.7487998009,228.587
1569492079.29,63.58057407,10.50398391,14.333335,-1,0.8102999926,5.1968002319,229.253
1569492080.39,63.5805785,10.50401558,14.008651,-1,0.8321999907,5.2863998413,229.587
1569492081.54,63.58058153,10.50404961,13.642945,-1,0.7957000136,4.7487998009,229.736
1569492082.64,63.58058283,10.50408262,13.30427,-1,0.8176000118,5.0176000595,230.11
1569492083.79,63.58058251,10.50411718,12.958645,-1,0.8540999889,5.0176000595,230.211
1569492084.89,63.58058057,10.50414991,12.59804,-1,0.7738000154,5.3759999275,230.327
1569492086.04,63.58057694,10.50418332,12.218081,-1,0.8978999853,5.2863998413,231.1945
1569492087.14,63.58057203,10.50421432,11.866326,-1,0.8978999853,5.2863998413,231.816
1569492088.29,63.58056534,10.50424522,11.520596,-1,0.9563000202,5.3759999275,232.002
1569492089.39,63.58055758,10.50427312,11.186454,-1,0.9416999817,5.2863998413,232.186
1569492090.54,63.58054821,10.50430042,10.814296,-1,0.9927999973,5.3759999275,232.254
1569492091.64,63.580538,10.50432422,10.480731,-1,0.9927999973,5.4656000137,232.306
