timestamp,gmtTime,latitude,longitude,latitudeCorr,longitudeCorr,altitude,depth,medium,conductivity,temperature,salinity
1569491868.27673,09:57:48.276,63.5813018528938,10.5013277726948,63.5813007463935,10.5013245453854,-1,0.03,WATER,3.419,11.506,29.788
1569491869.7768,09:57:49.776,63.5812994668102,10.5013221197803,63.5812976455525,10.5013156934813,-1,0.05,WATER,2.979,11.506,25.584
1569491870.77676,09:57:50.776,63.5812954164162,10.5013166014141,63.5812930342687,10.5013087430559,-1,0.05,WATER,3.42,11.507,29.792
1569491871.77509,09:57:51.775,63.5812917699242,10.5013060981969,63.5812898179474,10.5012991587964,-1,0.06,WATER,3.412,11.45,29.715
1569491872.77642,09:57:52.776,63.5812876497071,10.5012966702185,63.5812858217986,10.5012906510271,-1,0.06,WATER,1.451,11.506,11.672
1569491873.77676,09:57:53.776,63.5812852700159,10.5012883527437,63.5812831257842,10.5012812311249,-1,0.05,WATER,3.398,11.508,29.58
1569491874.7766,09:57:54.776,63.5812812962007,10.5012771943233,63.5812796138596,10.5012718942258,-1,0.04,WATER,3.383,11.508,29.438
1569491875.77666,09:57:55.776,63.5812784949337,10.5012699012941,63.5812769041914,10.5012653813534,-1,0.05,WATER,3.168,11.508,27.372
1569491876.77661,09:57:56.776,63.5812767669989,10.5012629185229,63.581276247768,10.5012616334096,-1,0.03,WATER,3.417,11.505,29.766
1569491877.77664,09:57:57.776,63.5812792294172,10.5012637533302,63.5812783051412,10.5012604325414,-1,0.05,WATER,3.419,11.501,29.786
1569491878.77659,09:57:58.776,63.5812809702358,10.5012679005677,63.581280453746,10.5012658796536,-1,0.1,WATER,3.418,11.502,29.786
1569491879.77663,09:57:59.776,63.5812830522041,10.5012805818256,63.581281910808,10.5012732004712,-1,0.08,WATER,3.418,11.502,29.785
1569491880.77665,09:58:00.776,63.5812844244872,10.5012980964571,63.581283569663,10.5012883437509,-1,0.06,WATER,3.419,11.503,29.785
1569491881.77665,09:58:01.776,63.581284123152,10.5013171167898,63.5812832534723,10.5013057874175,-1,0.03,WATER,3.419,11.504,29.789
1569491882.77664,09:58:02.776,63.5812822877575,10.501336307628,63.5812815658483,10.5013234396213,-1,0.11,WATER,3.419,11.506,29.792
1569491883.77668,09:58:03.776,63.5812789786944,10.5013533458942,63.5812783748598,10.5013404576106,-1,0.06,WATER,3.419,11.506,29.792
1569491884.77666,09:58:04.776,63.5812747030047,10.5013739800313,63.5812742277092,10.5013614434193,-1,0.07,WATER,3.419,11.502,29.79
1569491885.77655,09:58:05.776,63.5812673621395,10.5013928237804,63.5812679495931,10.501377802646,-1,0.07,WATER,3.419,11.505,29.791
1569491886.77656,09:58:06.776,63.5812585320386,10.5014111000812,63.581258977055,10.5013952304087,-1,0.1,WATER,3.419,11.506,29.793
1569491887.77649,09:58:07.776,63.5812468771109,10.5014335398546,63.5812524000318,10.5014142772293,-1,0.09,WATER,3.421,11.509,29.8
1569491888.77648,09:58:08.776,63.5812390105539,10.5014494055259,63.5812412285873,10.5014313526223,-1,0.12,WATER,3.421,11.509,29.802
1569491889.77654,09:58:09.776,63.5812273588182,10.50146724056,63.5812319376728,10.5014497827683,-1,0.14,WATER,3.42,11.508,29.798
1569491890.77646,09:58:10.776,63.5812173092868,10.50148199407,63.5812189640246,10.5014672659137,-1,0.17,WATER,3.421,11.51,29.8
1569491891.77925,09:58:11.779,63.5812097801602,10.5014981341795,63.5812096403267,10.501484732357,-1,0.28,WATER,3.423,11.522,29.819
1569491892.77649,09:58:12.776,63.5812013621379,10.5015188442337,63.5812039703363,10.5015027763071,-1,0.42,WATER,3.424,11.511,29.826
1569491893.77647,09:58:13.776,63.5811933607178,10.5015437469875,63.5811924101844,10.5015326214465,-1,0.73,WATER,3.42,11.509,29.798
1569491894.7765,09:58:14.776,63.5811835265136,10.5015829250102,63.5811867136258,10.50155837524,-1,1.2,WATER,3.42,11.51,29.799
1569491895.77624,09:58:15.776,63.5811783887356,10.5016206736982,63.5811806360449,10.5015945979352,-1,1.74,WATER,3.421,11.511,29.803
1569491896.77632,09:58:16.776,63.581171457245,10.5016631408745,63.5811740976029,10.5016325250328,-1,2.33,WATER,3.423,11.516,29.819
1569491897.77601,09:58:17.776,63.5811634891168,10.5017024111624,63.5811659059147,10.5016724258605,-1,2.96,WATER,3.422,11.518,29.814
1569491898.77573,09:58:18.775,63.5811540002936,10.5017399257516,63.5811565211505,10.5017097501832,-1,3.6,WATER,3.424,11.515,29.828
1569491899.77609,09:58:19.776,63.5811436112841,10.5017760651291,63.581145703363,10.5017450161551,-1,4.25,WATER,3.425,11.528,29.836
1569491900.7761,09:58:20.776,63.5811327414165,10.5018116547031,63.5811342156576,10.5017794645923,-1,4.89,UNDERWATER,3.431,11.54,29.877
1569491901.77612,09:58:21.776,63.5811215799804,10.5018465683351,63.5811222771937,10.5018132327113,-1,5.52,UNDERWATER,3.432,11.54,29.883
1569491902.77623,09:58:22.776,63.5811104284074,10.5018814765723,63.5811102278313,10.5018466303819,-1,6.17,UNDERWATER,3.436,11.556,29.914
1569491903.77605,09:58:23.776,63.5810994174872,10.5019165694467,63.5810975613237,10.5018816972956,-1,6.81,UNDERWATER,3.438,11.557,29.923
1569491904.77606,09:58:24.776,63.581088569547,10.5019518693841,63.5810863205115,10.5019137016034,-1,7.46,UNDERWATER,3.439,11.566,29.933
1569491905.77624,09:58:25.776,63.5810778200566,10.5019872355147,63.5810745858635,10.5019475531151,-1,8.11,UNDERWATER,3.44,11.57,29.94
1569491906.77611,09:58:26.776,63.5810671565777,10.5020226543181,63.5810629462808,10.5019813170187,-1,8.77,UNDERWATER,3.442,11.576,29.954
1569491907.77607,09:58:27.776,63.5810566160218,10.5020583384982,63.5810514321421,10.5020153613725,-1,9.41,UNDERWATER,3.442,11.579,29.949
1569491908.77588,09:58:28.775,63.5810460263856,10.5020940386387,63.581039961083,10.5020495660013,-1,10.07,UNDERWATER,3.447,11.617,29.987
1569491909.77602,09:58:29.776,63.5810355613936,10.502129490585,63.5810284662029,10.5020837048755,-1,10.72,UNDERWATER,3.469,11.71,30.146
1569491910.77594,09:58:30.775,63.581025188467,10.5021643894655,63.5810171541813,10.5021174586579,-1,11.39,UNDERWATER,3.49,11.745,30.292
1569491911.77607,09:58:31.776,63.5810147471012,10.5021986918269,63.5810058418298,10.5021506341154,-1,12.02,UNDERWATER,3.503,11.778,30.385
1569491912.77619,09:58:32.776,63.5810043774699,10.5022324884429,63.5809945068498,10.5021831676708,-1,12.67,UNDERWATER,3.512,11.81,30.451
1569491913.77592,09:58:33.775,63.580994112934,10.5022660566918,63.5809832492334,10.5022153689011,-1,13.28,UNDERWATER,3.523,11.868,30.515
1569491914.77625,09:58:34.776,63.5809841094633,10.5022993684448,63.5809721483068,10.5022473572064,-1,13.9,UNDERWATER,3.544,11.944,30.641
1569491915.77608,09:58:35.776,63.5809741384238,10.5023324057402,63.5809612751675,10.5022790532552,-1,14.51,UNDERWATER,3.55,11.962,30.677
1569491916.77611,09:58:36.776,63.5809642271031,10.5023650101169,63.5809504059817,10.5023103992501,-1,15.1,UNDERWATER,3.554,11.968,30.708
1569491917.77607,09:58:37.776,63.5809544270936,10.5023973629154,63.5809396032244,10.5023414009658,-1,15.72,UNDERWATER,3.557,11.979,30.729
1569491918.77583,09:58:38.775,63.5809447208734,10.5024294409533,63.5809289415548,10.5023721489358,-1,16.3,UNDERWATER,3.563,11.996,30.777
1569491919.77552,09:58:39.775,63.5809350508789,10.5024610971289,63.5809183364206,10.5024025529511,-1,16.89,UNDERWATER,3.569,12.019,30.816
1569491920.77578,09:58:40.775,63.5809253946268,10.5024924508892,63.5809072331718,10.5024340668793,-1,17.46,UNDERWATER,3.579,12.048,30.888
1569491921.77592,09:58:41.775,63.5809159007065,10.5025237038584,63.5808972131673,10.5024623416964,-1,18.04,UNDERWATER,3.585,12.077,30.925
1569491922.77576,09:58:42.775,63.5809067027135,10.5025550512908,63.5808869188788,10.5024921251072,-1,18.61,UNDERWATER,3.607,12.177,31.082
1569491923.77532,09:58:43.775,63.5808976435105,10.5025862776581,63.5808768778264,10.5025219086616,-1,19.16,UNDERWATER,3.621,12.201,31.161
1569491924.77584,09:58:44.775,63.5808886120677,10.50261723779,63.5808664380496,10.5025530115256,-1,19.7,UNDERWATER,3.629,12.238,31.211
1569491925.77577,09:58:45.775,63.580879505517,10.5026479122512,63.5808564656861,10.5025823439173,-1,20.25,UNDERWATER,3.635,12.255,31.243
1569491926.77588,09:58:46.775,63.5808703648365,10.5026782911358,63.5808469294399,10.5026099231615,-1,20.77,UNDERWATER,3.639,12.275,31.273
1569491927.77593,09:58:47.775,63.5808612832006,10.5027084882374,63.5808363835785,10.5026401455822,-1,21.28,UNDERWATER,3.644,12.295,31.303
1569491928.77591,09:58:48.775,63.5808523280457,10.5027385568972,63.5808269451947,10.5026673356829,-1,21.79,UNDERWATER,3.661,12.377,31.417
1569491929.77585,09:58:49.775,63.5808433861721,10.5027684630541,63.5808170920733,10.5026958223989,-1,22.29,UNDERWATER,3.674,12.398,31.496
1569491930.77602,09:58:50.776,63.5808344975504,10.5027982416966,63.5808072459089,10.5027241615966,-1,22.77,UNDERWATER,3.679,12.423,31.535
1569491931.77597,09:58:51.775,63.5808257370397,10.5028280379191,63.5807974846446,10.5027524239512,-1,23.24,UNDERWATER,3.684,12.441,31.565
1569491932.7761,09:58:52.776,63.5808170758255,10.5028576741318,63.5807878701061,10.5027806719864,-1,23.71,UNDERWATER,3.696,12.481,31.644
1569491933.77581,09:58:53.775,63.5808083143651,10.5028871059398,63.5807782892165,10.5028086806028,-1,24.2,UNDERWATER,3.699,12.483,31.66
1569491934.77576,09:58:54.775,63.5807994617993,10.5029158530419,63.580768617708,10.5028362907189,-1,24.67,UNDERWATER,3.702,12.504,31.681
1569491935.77576,09:58:55.775,63.5807905083507,10.5029439735255,63.5807587997238,10.5028633174322,-1,25.15,UNDERWATER,3.718,12.54,31.795
1569491936.77597,09:58:56.775,63.5807814878058,10.5029719284327,63.580748880571,10.5028899025594,-1,25.63,UNDERWATER,3.722,12.537,31.841
1569491937.77582,09:58:57.775,63.5807726273354,10.502999796149,63.5807389843587,10.5029162887658,-1,26.11,UNDERWATER,3.733,12.578,31.914
